first_nomin_y,last_nomin_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name
1920,1924,2,C in 1903|,511,Svante A Arrhenius,P in 1926|,7136,Jean B Perrin
1919,1919,1,,5739,Einar Lönnberg,P in 1926|,7136,Jean B Perrin
1925,1926,2,,6950,Paul Painlevé,P in 1926|,7136,Jean B Perrin
1923,1926,2,C in 1920|,6650,Walther H Nernst,P in 1926|,7136,Jean B Perrin
1915,1922,2,,9458,Georges Urbain,P in 1926|,7136,Jean B Perrin
1919,1919,1,,3828,Axel Hamberg,P in 1926|,7136,Jean B Perrin
1926,1926,1,,465,Paul Appell,P in 1926|,7136,Jean B Perrin
1920,1924,2,C in 1903|,511,Svante A Arrhenius,C in 1926|,8915,Theodor Svedberg
1919,1919,1,,8966,Henrik Söderbaum,C in 1926|,8915,Theodor Svedberg
1919,1919,1,,5739,Einar Lönnberg,C in 1926|,8915,Theodor Svedberg
1923,1926,2,C in 1920|,6650,Walther H Nernst,C in 1926|,8915,Theodor Svedberg
1924,1924,1,,14110,Adriaan H.W Aten,C in 1926|,8915,Theodor Svedberg
1916,1916,1,,7295,Ivan Plotnikov,C in 1926|,8915,Theodor Svedberg
1919,1919,1,,3828,Axel Hamberg,C in 1926|,8915,Theodor Svedberg
1919,1919,1,,6960,Wilhelm Palmaer,C in 1926|,8915,Theodor Svedberg
1918,1918,1,,3834,Hartog J Hamburger,C in 1926|,8915,Theodor Svedberg
1901,1903,3,,7871,Johan O Rosenberg,C in 1903|,511,Svante A Arrhenius
1902,1903,2,,3517,Heinrich Goldschmidt,C in 1903|,511,Svante A Arrhenius
1901,1903,2,,1845,Per T Cleve,C in 1903|,511,Svante A Arrhenius
1902,1903,2,,9690,Johan Vogt,C in 1903|,511,Svante A Arrhenius
1903,1903,1,,14107, Member of the Nobel Committee for chemistry,C in 1903|,511,Svante A Arrhenius
1902,1903,2,,4195,Thorstein Hiortdahl,C in 1903|,511,Svante A Arrhenius
1903,1903,1,,9873,Karl von Than,C in 1903|,511,Svante A Arrhenius
1902,1903,2,,1416,Waldemar Brögger,C in 1903|,511,Svante A Arrhenius
1901,1901,1,,7185,Otto Pettersson,C in 1903|,511,Svante A Arrhenius
1903,1903,1,,918,Carl E Bergstrand,C in 1903|,511,Svante A Arrhenius
1903,1903,1,C in 1902|,3022,Emil H Fischer,C in 1903|,511,Svante A Arrhenius
1903,1903,1,C in 1901|,9563,Jacobus H van´t Hoff,C in 1903|,511,Svante A Arrhenius
